             version              nb_cpu                   N       nb_iterations        erreur_infty               temps
            1.000000           -1.000000            5.000000          109.000000            0.000000            0.000013
            3.000000           -1.000000            5.000000           -1.000000            0.031916            0.000003
            2.000000            1.000000            5.000000          109.000000            0.000000            0.000838
            2.000000            2.000000            5.000000          109.000000            0.000000            0.004713
            2.000000            4.000000            5.000000           71.000000            0.040000            0.001267
            2.000000            6.000000            5.000000           38.000000            0.080000            0.001204
            2.000000            8.000000            5.000000            7.000000            0.085000            0.005095
            1.000000           -1.000000           10.000000          437.000000            0.000000            0.000141
            3.000000           -1.000000           10.000000           -1.000000            0.008265            0.000004
            2.000000            1.000000           10.000000          437.000000            0.000000            0.000075
            2.000000            2.000000           10.000000          437.000000            0.000000            0.001382
            2.000000            4.000000           10.000000          437.000000            0.000000            0.001744
            2.000000            6.000000           10.000000          532.000000            0.050000            0.003515
            2.000000            8.000000           10.000000          166.000000            0.110000            0.010223
            1.000000           -1.000000           50.000000         9438.000000            0.000000            0.010131
            3.000000           -1.000000           50.000000           -1.000000            0.000329            0.000013
            2.000000            1.000000           50.000000         9438.000000            0.000000            0.004911
            2.000000            2.000000           50.000000         9438.000000            0.000000            0.019732
            2.000000            4.000000           50.000000         9438.000000            0.000000            0.019924
            2.000000            6.000000           50.000000         9438.000000            0.000000            0.043949
            2.000000            8.000000           50.000000         9438.000000            0.000000            0.053407
            1.000000           -1.000000          100.000000        34958.000000            0.000000            0.043488
            3.000000           -1.000000          100.000000           -1.000000            0.000082            0.000018
            2.000000            1.000000          100.000000        34958.000000            0.000000            0.024733
            2.000000            2.000000          100.000000        34958.000000            0.000000            0.067707
            2.000000            4.000000          100.000000        34958.000000            0.000000            0.069656
            2.000000            6.000000          100.000000        34958.000000            0.000000            0.163823
            2.000000            8.000000          100.000000        34958.000000            0.000000            0.186765
            1.000000           -1.000000          300.000000       274589.000000            0.000000            0.426753
            3.000000           -1.000000          300.000000           -1.000000            0.000009            0.000061
            2.000000            1.000000          300.000000       274589.000000            0.000000            0.412968
            2.000000            2.000000          300.000000       274589.000000            0.000000            0.648726
            2.000000            4.000000          300.000000       274589.000000            0.000000            0.609960
            2.000000            6.000000          300.000000       274589.000000            0.000000            1.315772
            2.000000            8.000000          300.000000       274589.000000            0.000000            1.597967
