             version              nb_cpu                   N        nb_iteration        erreur_infty               temps
          1.00000000         -1.00000000          5.00000000        102.00000000          0.03191593          0.00000400
          2.00000000          1.00000000          5.00000000        102.00000000          0.03191593          0.00009000
          2.00000000          2.00000000          5.00000000        102.00000000          0.03191593          0.00168900
          2.00000000          4.00000000          5.00000000        102.00000000          0.03191593          0.00171100
          2.00000000          6.00000000          5.00000000        102.00000000          0.03191593          0.00270700
          2.00000000          8.00000000          5.00000000        102.00000000          0.03191593          0.00307900
          3.00000000          1.00000000          5.00000000        102.00000000          0.03191593          0.00126100
          3.00000000          2.00000000          5.00000000        102.00000000          0.03191593          0.00242700
          3.00000000          4.00000000          5.00000000        102.00000000          0.03191593          0.00100700
          3.00000000          6.00000000          5.00000000        102.00000000          0.03191593          0.00186300
          3.00000000          8.00000000          5.00000000        201.00000000          0.03191593          0.00635300
          4.00000000         -1.00000000          5.00000000         -1.00000000          0.03191593          0.00000100
          1.00000000         -1.00000000         10.00000000        400.00000000          0.00826541          0.00001200
          2.00000000          1.00000000         10.00000000        400.00000000          0.00826541          0.00021100
          2.00000000          2.00000000         10.00000000        400.00000000          0.00826541          0.00509000
          2.00000000          4.00000000         10.00000000        400.00000000          0.00826541          0.00563400
          2.00000000          6.00000000         10.00000000        400.00000000          0.00826541          0.00990200
          2.00000000          8.00000000         10.00000000        400.00000000          0.00826541          0.01102600
          3.00000000          1.00000000         10.00000000        400.00000000          0.00826541          0.00006300
          3.00000000          2.00000000         10.00000000        400.00000000          0.00826541          0.00126900
          3.00000000          4.00000000         10.00000000        400.00000000          0.00826541          0.00164800
          3.00000000          6.00000000         10.00000000        400.00000000          0.00826541          0.00275500
          3.00000000          8.00000000         10.00000000        400.00000000          0.00826541          0.00450400
          4.00000000         -1.00000000         10.00000000         -1.00000000          0.00826542          0.00000100
          1.00000000         -1.00000000         50.00000000       8506.00000000          0.00032900          0.00234100
          2.00000000          1.00000000         50.00000000       8506.00000000          0.00032900          0.00374300
          2.00000000          2.00000000         50.00000000       8506.00000000          0.00032900          0.05659900
          2.00000000          4.00000000         50.00000000       8506.00000000          0.00032900          0.09130300
          2.00000000          6.00000000         50.00000000       8506.00000000          0.00032900          0.11751500
          2.00000000          8.00000000         50.00000000       8506.00000000          0.00032900          0.14699100
          3.00000000          1.00000000         50.00000000       8506.00000000          0.00032900          0.00081900
          3.00000000          2.00000000         50.00000000       8506.00000000          0.00032900          0.01555100
          3.00000000          4.00000000         50.00000000       8506.00000000          0.00032900          0.04091600
          3.00000000          6.00000000         50.00000000       8506.00000000          0.00032900          0.04369900
          3.00000000          8.00000000         50.00000000       8506.00000000          0.00032900          0.08759900
          4.00000000         -1.00000000         50.00000000         -1.00000000          0.00032905          0.00000300
          1.00000000         -1.00000000        100.00000000      31227.00000000          0.00008205          0.01406000
          2.00000000          1.00000000        100.00000000      31227.00000000          0.00008205          0.01950000
          2.00000000          2.00000000        100.00000000      31227.00000000          0.00008205          0.15259500
          2.00000000          4.00000000        100.00000000      31227.00000000          0.00008205          0.26280100
          2.00000000          6.00000000        100.00000000      31227.00000000          0.00008205          0.39197100
          2.00000000          8.00000000        100.00000000      31227.00000000          0.00008205          0.49327800
          3.00000000          1.00000000        100.00000000      31227.00000000          0.00008205          0.00558400
          3.00000000          2.00000000        100.00000000      31227.00000000          0.00008205          0.04671700
          3.00000000          4.00000000        100.00000000      31227.00000000          0.00008205          0.07009300
          3.00000000          6.00000000        100.00000000      31227.00000000          0.00008205          0.14094000
          3.00000000          8.00000000        100.00000000      31227.00000000          0.00008205          0.24117000
          4.00000000         -1.00000000        100.00000000         -1.00000000          0.00008225          0.00000400
          1.00000000         -1.00000000        300.00000000     241002.00000000          0.00000731          0.18917500
          2.00000000          1.00000000        300.00000000     241002.00000000          0.00000731          0.17074400
          2.00000000          2.00000000        300.00000000     241002.00000000          0.00000731          1.11536100
          2.00000000          4.00000000        300.00000000     241002.00000000          0.00000731          1.92127800
          2.00000000          6.00000000        300.00000000     241002.00000000          0.00000731          3.02605800
          2.00000000          8.00000000        300.00000000     241002.00000000          0.00000731          3.94413100
          3.00000000          1.00000000        300.00000000     241002.00000000          0.00000731          0.06976600
          3.00000000          2.00000000        300.00000000     241002.00000000          0.00000731          0.31758100
          3.00000000          4.00000000        300.00000000     241002.00000000          0.00000731          0.39872400
          3.00000000          6.00000000        300.00000000     241002.00000000          0.00000731          0.91302300
          3.00000000          8.00000000        300.00000000     241002.00000000          0.00000731          1.25340300
          4.00000000         -1.00000000        300.00000000         -1.00000000          0.00000914          0.00001900
          1.00000000         -1.00000000        500.00000000     617699.00000000          0.00000178          0.53846500
          2.00000000          1.00000000        500.00000000     617699.00000000          0.00000178          0.57832700
          2.00000000          2.00000000        500.00000000     617699.00000000          0.00000178          2.99193000
          2.00000000          4.00000000        500.00000000     617699.00000000          0.00000178          4.97047000
          2.00000000          6.00000000        500.00000000     617699.00000000          0.00000178          7.72306900
          2.00000000          8.00000000        500.00000000     617699.00000000          0.00000178         10.30130900
          3.00000000          1.00000000        500.00000000     617699.00000000          0.00000178          0.26168100
          3.00000000          2.00000000        500.00000000     617699.00000000          0.00000178          0.84619000
          3.00000000          4.00000000        500.00000000     617699.00000000          0.00000178          0.98740100
          3.00000000          6.00000000        500.00000000     617699.00000000          0.00000178          2.28490900
          3.00000000          8.00000000        500.00000000     617699.00000000          0.00000178          3.01619500
          4.00000000         -1.00000000        500.00000000         -1.00000000          0.00000329          0.00003600
          1.00000000         -1.00000000        700.00000000    1143874.00000000          0.00000825          1.38966400
          2.00000000          1.00000000        700.00000000    1143874.00000000          0.00000825          1.49330800
          2.00000000          2.00000000        700.00000000    1143874.00000000          0.00000825          5.79394300
          2.00000000          4.00000000        700.00000000    1143874.00000000          0.00000825          9.49654100
          2.00000000          6.00000000        700.00000000    1143874.00000000          0.00000825         14.70799200
          2.00000000          8.00000000        700.00000000    1143874.00000000          0.00000825         19.33472700
          3.00000000          1.00000000        700.00000000    1143874.00000000          0.00000825          0.62306800
          3.00000000          2.00000000        700.00000000    1143874.00000000          0.00000825          1.67904300
          3.00000000          4.00000000        700.00000000    1143874.00000000          0.00000825          1.91153300
          3.00000000          6.00000000        700.00000000    1143874.00000000          0.00000825          4.45715500
          3.00000000          8.00000000        700.00000000    1143874.00000000          0.00000825          8.85893700
          4.00000000         -1.00000000        700.00000000         -1.00000000          0.00000168          0.00003100
          1.00000000         -1.00000000       1500.00000000    4557543.00000000          0.00004522         11.82684400
          2.00000000          1.00000000       1500.00000000    4557543.00000000          0.00004522         12.32027700
          2.00000000          2.00000000       1500.00000000    4557543.00000000          0.00004522         27.47886800
          2.00000000          4.00000000       1500.00000000    4557543.00000000          0.00004522         46.24137500
          2.00000000          6.00000000       1500.00000000    4557543.00000000          0.00004522         68.30730600
          2.00000000          8.00000000       1500.00000000    4557543.00000000          0.00004522         84.49623700
          3.00000000          1.00000000       1500.00000000    4557543.00000000          0.00004522          4.86551100
          3.00000000          2.00000000       1500.00000000    4557543.00000000          0.00004522          8.05224800
          3.00000000          4.00000000       1500.00000000    4557543.00000000          0.00004522          8.77387200
          3.00000000          6.00000000       1500.00000000    4557543.00000000          0.00004522         19.57638300
          3.00000000          8.00000000       1500.00000000    4557543.00000000          0.00004522         32.63227600
          4.00000000         -1.00000000       1500.00000000         -1.00000000          0.00000037          0.00004300
