             version              nb_cpu                   N        nb_iteration        erreur_infty               temps
          1.00000000         -1.00000000          5.00000000         21.00000000          0.00163444          0.00000300
          2.00000000          1.00000000          5.00000000         21.00000000          0.00163444          0.00003200
          2.00000000          2.00000000          5.00000000         21.00000000          0.00163444          0.00049000
          2.00000000          4.00000000          5.00000000         21.00000000          0.00163444          0.00060900
          2.00000000          6.00000000          5.00000000         21.00000000          0.00163444          0.00099100
          2.00000000          8.00000000          5.00000000         21.00000000          0.00163444          0.00132900
          3.00000000          1.00000000          5.00000000         21.00000000          0.00163444          0.00106500
          3.00000000          2.00000000          5.00000000         21.00000000          0.00163444          0.00248000
          3.00000000          4.00000000          5.00000000         21.00000000          0.00163444          0.00105100
          3.00000000          6.00000000          5.00000000         21.00000000          0.00163444          0.00160300
          3.00000000          8.00000000          5.00000000         21.00000000          0.00163444          0.00451000
          4.00000000          1.00000000          5.00000000         21.00000000          0.00163444          0.00185800
          4.00000000          2.00000000          5.00000000         21.00000000          0.00163444          0.00134300
          4.00000000          4.00000000          5.00000000         21.00000000          0.00163444          0.00112900
          4.00000000          6.00000000          5.00000000         21.00000000          0.00163444          0.00186100
          4.00000000          8.00000000          5.00000000         40.00000000          0.00428536          0.00347700
          1.00000000         -1.00000000         10.00000000        102.00000000          0.00038444          0.00007500
          2.00000000          1.00000000         10.00000000        102.00000000          0.00038444          0.00007500
          2.00000000          2.00000000         10.00000000        102.00000000          0.00038444          0.00347600
          2.00000000          4.00000000         10.00000000        102.00000000          0.00038444          0.00463700
          2.00000000          6.00000000         10.00000000        102.00000000          0.00038444          0.00346000
          2.00000000          8.00000000         10.00000000        102.00000000          0.00038444          0.00572800
          3.00000000          1.00000000         10.00000000        102.00000000          0.00038444          0.00004900
          3.00000000          2.00000000         10.00000000        102.00000000          0.00038444          0.00091300
          3.00000000          4.00000000         10.00000000        102.00000000          0.00038444          0.00135800
          3.00000000          6.00000000         10.00000000        102.00000000          0.00038444          0.01204100
          3.00000000          8.00000000         10.00000000        102.00000000          0.00038444          0.00279500
          4.00000000          1.00000000         10.00000000        102.00000000          0.00038444          0.00006500
          4.00000000          2.00000000         10.00000000        102.00000000          0.00038444          0.00076100
          4.00000000          4.00000000         10.00000000        102.00000000          0.00038444          0.00151600
