             version              nb_cpu                   N                   h                 N_t                 h_t        erreur_infty               temps
          1.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625          0.00001513          0.00000000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625          0.00001513          0.00000000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625          0.00001513          0.00000000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625          0.00001513          0.00000000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625          0.00001513          0.00000000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625          0.00001513          0.00000000
          1.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625          0.00001513          0.00000000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625          0.00001513          0.00000000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625          0.00001513          0.00000000
          1.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         51.57965000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         51.89659000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         30.55509600
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         18.72165900
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         19.92235000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         23.78630300
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         26.28725900
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         24.77860000
