             version              nb_cpu                   N                   h                 N_t                 h_t        erreur_infty               temps
          1.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625          0.00001513          0.00000000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625          0.00001513          0.00000000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625          0.00001513          0.00000000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625          0.00001513          0.00000000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625          0.00001513          0.00000000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625          0.00001513          0.00000000
          1.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625          0.00001513          0.00000000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625          0.00001513          0.00000000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625          0.00001513          0.00000000
          1.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         51.57965000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         51.89659000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         30.55509600
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         18.72165900
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         19.92235000
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         23.78630300
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         26.28725900
          2.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         24.77860000
          4.00000000         -1.00000000         10.00000000          0.10000000      10000.00000000          0.00010000          0.00338798          0.00000000
          4.00000000         -1.00000000         10.00000000          0.10000000      20000.00000000          0.00005000          0.00320815          0.00000000
          4.00000000         -1.00000000         10.00000000          0.10000000      49999.00000000          0.00002000          0.00310018          0.00000000
          4.00000000         -1.00000000         10.00000000          0.10000000      99999.00000000          0.00001000          0.00306418          0.00000000
          4.00000000         -1.00000000         10.00000000          0.10000000     199999.00000000          0.00000500          0.00304618          0.00000000
          4.00000000         -1.00000000         20.00000000          0.05000000      10000.00000000          0.00010000          0.00111862          0.00000000
          4.00000000         -1.00000000         20.00000000          0.05000000      20000.00000000          0.00005000          0.00093767          0.00000000
          4.00000000         -1.00000000         20.00000000          0.05000000      49999.00000000          0.00002000          0.00082903          0.00000000
          4.00000000         -1.00000000         20.00000000          0.05000000      99999.00000000          0.00001000          0.00079281          0.00000000
          4.00000000         -1.00000000         20.00000000          0.05000000     199999.00000000          0.00000500          0.00077469          0.00000000
          4.00000000         -1.00000000         50.00000000          0.02000000      10000.00000000          0.00010000          0.00048370          0.00000000
          4.00000000         -1.00000000         50.00000000          0.02000000      20000.00000000          0.00005000          0.00030244          0.00000000
          4.00000000         -1.00000000         50.00000000          0.02000000      49999.00000000          0.00002000          0.00019361          0.00000000
          4.00000000         -1.00000000         50.00000000          0.02000000      99999.00000000          0.00001000          0.00015732          0.00000000
          4.00000000         -1.00000000         50.00000000          0.02000000     199999.00000000          0.00000500          0.00013918          0.00000000
          4.00000000         -1.00000000        100.00000000          0.01000000      10000.00000000          0.00010000          0.00039301          0.00000000
          4.00000000         -1.00000000        100.00000000          0.01000000      20000.00000000          0.00005000          0.00021171          0.00000000
          4.00000000         -1.00000000        100.00000000          0.01000000      49999.00000000          0.00002000          0.00010286          0.00000000
          4.00000000         -1.00000000        100.00000000          0.01000000      99999.00000000          0.00001000          0.00006656          0.00000000
          4.00000000         -1.00000000        100.00000000          0.01000000     199999.00000000          0.00000500          0.00004841          0.00000000
          4.00000000         -1.00000000        200.00000000          0.00500000      10000.00000000          0.00010000          0.00037034          0.00000000
          4.00000000         -1.00000000        200.00000000          0.00500000      20000.00000000          0.00005000          0.00018903          0.00000000
          4.00000000         -1.00000000        200.00000000          0.00500000      49999.00000000          0.00002000          0.00008017          0.00000000
          4.00000000         -1.00000000        200.00000000          0.00500000      99999.00000000          0.00001000          0.00004387          0.00000000

             version              nb_cpu                   N                   h                 N_t                 h_t        erreur_infty               temps
          1.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         52.56210800
          2.00000000          1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         51.84245100
          2.00000000          2.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         30.03520300
          2.00000000          4.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         18.95567100
          2.00000000          6.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         23.93686500
          2.00000000          8.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         21.20018100
          3.00000000          1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         55.00145200
          3.00000000          2.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         30.74986400
          3.00000000          4.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         21.68529300
          3.00000000          6.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         33.16798400
          3.00000000          8.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         31.23505000
