             version              nb_cpu                   N                   h                 N_t                 h_t        erreur_infty               temps
          1.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         52.13622600
          2.00000000          1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         51.95987800
          2.00000000          2.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         30.05612000
          2.00000000          4.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         20.93223500
          2.00000000          6.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         25.00224400
          2.00000000          8.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         21.71254500
          3.00000000          1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         53.26223600
          3.00000000          2.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         33.69045200
          3.00000000          4.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         25.86527700
          3.00000000          6.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         35.36988300
          3.00000000          8.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         38.38450400
          4.00000000         -1.00000000        200.00000000          0.00500000        200.00000000          0.00500000         -1.00000000          0.33858700
          4.00000000         -1.00000000        400.00000000          0.00250000        400.00000000          0.00250000         -1.00000000          3.28451700
          4.00000000         -1.00000000        600.00000000          0.00166667        600.00000000          0.00166667         -1.00000000         12.63543200
          4.00000000         -1.00000000        800.00000000          0.00125000        800.00000000          0.00125000         -1.00000000         31.95411200
          4.00000000         -1.00000000       1000.00000000          0.00100000       1000.00000000          0.00100000         -1.00000000         60.40219000
          4.00000000         -1.00000000       1200.00000000          0.00083333       1200.00000000          0.00083333         -1.00000000         97.67985800
          4.00000000         -1.00000000       1400.00000000          0.00071429       1400.00000000          0.00071429         -1.00000000        159.09691600

             version              nb_cpu                   N                   h                 N_t                 h_t        erreur_infty               temps
          1.00000000         -1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         57.76631400
          2.00000000          1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         58.15019000
          2.00000000          2.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         36.42982300
          2.00000000          4.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         24.25471200
          2.00000000          6.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         28.47586300
          2.00000000          8.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         25.61736300
          3.00000000          1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         98.27301400
          3.00000000          2.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         63.74525200
          3.00000000          4.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         74.16692000
          3.00000000          6.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000         88.46364200
          3.00000000          8.00000000        200.00000000          0.00500000     160000.00000000          0.00000625         -1.00000000        131.98536100
