             version              nb_cpu                   N                   h                 N_t                 h_t        erreur_infty               temps
          1.00000000         -1.00000000         10.00000000          0.10000000      10000.00000000          0.00010000          0.00266777          0.00000000
          1.00000000         -1.00000000         10.00000000          0.10000000      20000.00000000          0.00005000          0.00284805          0.00000000
          1.00000000         -1.00000000         10.00000000          0.10000000      49999.00000000          0.00002000          0.00295614          0.00000000
          1.00000000         -1.00000000         10.00000000          0.10000000      99999.00000000          0.00001000          0.00299216          0.00000000
          1.00000000         -1.00000000         20.00000000          0.05000000      10000.00000000          0.00010000          0.00039394          0.00000000
          1.00000000         -1.00000000         20.00000000          0.05000000      20000.00000000          0.00005000          0.00057533          0.00000000
          1.00000000         -1.00000000         20.00000000          0.05000000      49999.00000000          0.00002000          0.00068410          0.00000000
          1.00000000         -1.00000000         20.00000000          0.05000000      99999.00000000          0.00001000          0.00072034          0.00000000
          1.00000000         -1.00000000         50.00000000          0.02000000      10000.00000000          0.00010000          0.00024223          0.00000000
          1.00000000         -1.00000000         50.00000000          0.02000000      20000.00000000          0.00005000          0.00006052          0.00000000
          1.00000000         -1.00000000         50.00000000          0.02000000      49999.00000000          0.00002000          0.00004843          0.00000000
          1.00000000         -1.00000000         50.00000000          0.02000000      99999.00000000          0.00001000          0.00008473          0.00000000
          1.00000000         -1.00000000        100.00000000          0.01000000      10000.00000000          0.00010000                 inf          0.00000000
          1.00000000         -1.00000000        100.00000000          0.01000000      20000.00000000          0.00005000                 inf          0.00000000
          1.00000000         -1.00000000        100.00000000          0.01000000      49999.00000000          0.00002000          0.00004237          0.00000000
          1.00000000         -1.00000000        100.00000000          0.01000000      99999.00000000          0.00001000          0.00000605          0.00000000
