             version              nb_cpu                   N                   h                 N_t                 h_t        erreur_infty               temps
          1.00000000         -1.00000000         10.00000000          0.10000000      10000.00000000          0.00010000          0.00266777          0.17673200
          1.00000000         -1.00000000         10.00000000          0.10000000      20000.00000000          0.00005000          0.00284805          0.32998400
          1.00000000         -1.00000000         10.00000000          0.10000000      49999.00000000          0.00002000          0.00295614          0.82772700
          1.00000000         -1.00000000         10.00000000          0.10000000      99999.00000000          0.00001000          0.00299216          1.68097300
          1.00000000         -1.00000000         10.00000000          0.10000000     199999.00000000          0.00000500          0.00301017          3.72477200
          1.00000000         -1.00000000         20.00000000          0.05000000      10000.00000000          0.00010000          0.00039394          0.18974400
          1.00000000         -1.00000000         20.00000000          0.05000000      20000.00000000          0.00005000          0.00057533          0.38571400
          1.00000000         -1.00000000         20.00000000          0.05000000      49999.00000000          0.00002000          0.00068410          0.96236800
          1.00000000         -1.00000000         20.00000000          0.05000000      99999.00000000          0.00001000          0.00072034          2.22270000
          1.00000000         -1.00000000         20.00000000          0.05000000     199999.00000000          0.00000500          0.00073846          3.91745600
          1.00000000         -1.00000000         50.00000000          0.02000000      10000.00000000          0.00010000          0.00024223          0.27161000
          1.00000000         -1.00000000         50.00000000          0.02000000      20000.00000000          0.00005000          0.00006052          0.59402300
          1.00000000         -1.00000000         50.00000000          0.02000000      49999.00000000          0.00002000          0.00004843          1.38602200
          1.00000000         -1.00000000         50.00000000          0.02000000      99999.00000000          0.00001000          0.00008473          3.05261100
          1.00000000         -1.00000000         50.00000000          0.02000000     199999.00000000          0.00000500          0.00010288          6.20488400
          1.00000000         -1.00000000        100.00000000          0.01000000      49999.00000000          0.00002000          0.00004237          2.96656400
          1.00000000         -1.00000000        100.00000000          0.01000000      99999.00000000          0.00001000          0.00000605          6.06113400
          1.00000000         -1.00000000        100.00000000          0.01000000     199999.00000000          0.00000500          0.00001210         11.72784300
