             version              nb_cpu                   N                   h                 N_t                 h_t        erreur_infty               temps
          1.00000000         -1.00000000         10.00000000          0.10000000     100000.00000000          0.00010000          0.00266777          0.00000000
          1.00000000         -1.00000000         10.00000000          0.10000000     200000.00000000          0.00005000          0.00284805          0.00000000
          1.00000000         -1.00000000         10.00000000          0.10000000     300000.00000000          0.00003333          0.00290810          0.00000000
          1.00000000         -1.00000000         10.00000000          0.10000000     400000.00000000          0.00002500          0.00293813          0.00000000
          1.00000000         -1.00000000         10.00000000          0.10000000     500000.00000000          0.00002000          0.00295614          0.00000000
          1.00000000         -1.00000000         10.00000000          0.10000000     600000.00000000          0.00001667          0.00296815          0.00000000
          1.00000000         -1.00000000         10.00000000          0.10000000     700000.00000000          0.00001429          0.00297672          0.00000000
          1.00000000         -1.00000000         10.00000000          0.10000000     800000.00000000          0.00001250          0.00298315          0.00000000
          1.00000000         -1.00000000         10.00000000          0.10000000     900000.00000000          0.00001111          0.00298816          0.00000000
          1.00000000         -1.00000000         10.00000000          0.10000000    1000000.00000000          0.00001000          0.00299216          0.00000000
          1.00000000         -1.00000000         20.00000000          0.05000000     100000.00000000          0.00010000          0.00039394          0.00000000
          1.00000000         -1.00000000         20.00000000          0.05000000     200000.00000000          0.00005000          0.00057533          0.00000000
          1.00000000         -1.00000000         20.00000000          0.05000000     300000.00000000          0.00003333          0.00063577          0.00000000
          1.00000000         -1.00000000         20.00000000          0.05000000     400000.00000000          0.00002500          0.00066597          0.00000000
          1.00000000         -1.00000000         20.00000000          0.05000000     500000.00000000          0.00002000          0.00068410          0.00000000
          1.00000000         -1.00000000         20.00000000          0.05000000     600000.00000000          0.00001667          0.00069618          0.00000000
          1.00000000         -1.00000000         20.00000000          0.05000000     700000.00000000          0.00001429          0.00070481          0.00000000
          1.00000000         -1.00000000         20.00000000          0.05000000     800000.00000000          0.00001250          0.00071128          0.00000000
          1.00000000         -1.00000000         20.00000000          0.05000000     900000.00000000          0.00001111          0.00071631          0.00000000
          1.00000000         -1.00000000         20.00000000          0.05000000    1000000.00000000          0.00001000          0.00072034          0.00000000
          1.00000000         -1.00000000         30.00000000          0.03333333     100000.00000000          0.00010000          0.00002683          0.00000000
          1.00000000         -1.00000000         30.00000000          0.03333333     200000.00000000          0.00005000          0.00015477          0.00000000
          1.00000000         -1.00000000         30.00000000          0.03333333     300000.00000000          0.00003333          0.00021527          0.00000000
          1.00000000         -1.00000000         30.00000000          0.03333333     400000.00000000          0.00002500          0.00024551          0.00000000
          1.00000000         -1.00000000         30.00000000          0.03333333     500000.00000000          0.00002000          0.00026366          0.00000000
          1.00000000         -1.00000000         30.00000000          0.03333333     600000.00000000          0.00001667          0.00027575          0.00000000
          1.00000000         -1.00000000         30.00000000          0.03333333     700000.00000000          0.00001429          0.00028439          0.00000000
          1.00000000         -1.00000000         30.00000000          0.03333333     800000.00000000          0.00001250          0.00029087          0.00000000
          1.00000000         -1.00000000         30.00000000          0.03333333     900000.00000000          0.00001111          0.00029591          0.00000000
          1.00000000         -1.00000000         30.00000000          0.03333333    1000000.00000000          0.00001000          0.00029994          0.00000000
          1.00000000         -1.00000000         40.00000000          0.02500000     100000.00000000          0.00010000          0.00017408          0.00000000
          1.00000000         -1.00000000         40.00000000          0.02500000     200000.00000000          0.00005000          0.00000759          0.00000000
          1.00000000         -1.00000000         40.00000000          0.02500000     300000.00000000          0.00003333          0.00006812          0.00000000
          1.00000000         -1.00000000         40.00000000          0.02500000     400000.00000000          0.00002500          0.00009837          0.00000000
          1.00000000         -1.00000000         40.00000000          0.02500000     500000.00000000          0.00002000          0.00011652          0.00000000
          1.00000000         -1.00000000         40.00000000          0.02500000     600000.00000000          0.00001667          0.00012862          0.00000000
          1.00000000         -1.00000000         40.00000000          0.02500000     700000.00000000          0.00001429          0.00013727          0.00000000
          1.00000000         -1.00000000         40.00000000          0.02500000     800000.00000000          0.00001250          0.00014375          0.00000000
          1.00000000         -1.00000000         40.00000000          0.02500000     900000.00000000          0.00001111          0.00014879          0.00000000
          1.00000000         -1.00000000         40.00000000          0.02500000    1000000.00000000          0.00001000          0.00015282          0.00000000
          1.00000000         -1.00000000         50.00000000          0.02000000     100000.00000000          0.00010000          0.00024223          0.00000000
          1.00000000         -1.00000000         50.00000000          0.02000000     200000.00000000          0.00005000          0.00006052          0.00000000
          1.00000000         -1.00000000         50.00000000          0.02000000     300000.00000000          0.00003333          0.00000001          0.00000000
          1.00000000         -1.00000000         50.00000000          0.02000000     400000.00000000          0.00002500          0.00003027          0.00000000
          1.00000000         -1.00000000         50.00000000          0.02000000     500000.00000000          0.00002000          0.00004843          0.00000000
          1.00000000         -1.00000000         50.00000000          0.02000000     600000.00000000          0.00001667          0.00006053          0.00000000
          1.00000000         -1.00000000         50.00000000          0.02000000     700000.00000000          0.00001429          0.00006917          0.00000000
          1.00000000         -1.00000000         50.00000000          0.02000000     800000.00000000          0.00001250          0.00007566          0.00000000
          1.00000000         -1.00000000         50.00000000          0.02000000     900000.00000000          0.00001111          0.00008070          0.00000000
          1.00000000         -1.00000000         50.00000000          0.02000000    1000000.00000000          0.00001000          0.00008473          0.00000000
          1.00000000         -1.00000000         60.00000000          0.01666667     100000.00000000          0.00010000                 inf          0.00000000
          1.00000000         -1.00000000         60.00000000          0.01666667     200000.00000000          0.00005000          0.00009753          0.00000000
          1.00000000         -1.00000000         60.00000000          0.01666667     300000.00000000          0.00003333          0.00003698          0.00000000
          1.00000000         -1.00000000         60.00000000          0.01666667     400000.00000000          0.00002500          0.00000672          0.00000000
          1.00000000         -1.00000000         60.00000000          0.01666667     500000.00000000          0.00002000          0.00001144          0.00000000
          1.00000000         -1.00000000         60.00000000          0.01666667     600000.00000000          0.00001667          0.00002354          0.00000000
          1.00000000         -1.00000000         60.00000000          0.01666667     700000.00000000          0.00001429          0.00003219          0.00000000
          1.00000000         -1.00000000         60.00000000          0.01666667     800000.00000000          0.00001250          0.00003867          0.00000000
          1.00000000         -1.00000000         60.00000000          0.01666667     900000.00000000          0.00001111          0.00004371          0.00000000
          1.00000000         -1.00000000         60.00000000          0.01666667    1000000.00000000          0.00001000          0.00004775          0.00000000
          1.00000000         -1.00000000         70.00000000          0.01428571     100000.00000000          0.00010000                 inf          0.00000000
          1.00000000         -1.00000000         70.00000000          0.01428571     200000.00000000          0.00005000          0.00011984          0.00000000
          1.00000000         -1.00000000         70.00000000          0.01428571     300000.00000000          0.00003333          0.00005929          0.00000000
          1.00000000         -1.00000000         70.00000000          0.01428571     400000.00000000          0.00002500          0.00002902          0.00000000
          1.00000000         -1.00000000         70.00000000          0.01428571     500000.00000000          0.00002000          0.00001087          0.00000000
          1.00000000         -1.00000000         70.00000000          0.01428571     600000.00000000          0.00001667          0.00000124          0.00000000
          1.00000000         -1.00000000         70.00000000          0.01428571     700000.00000000          0.00001429          0.00000988          0.00000000
          1.00000000         -1.00000000         70.00000000          0.01428571     800000.00000000          0.00001250          0.00001637          0.00000000
          1.00000000         -1.00000000         70.00000000          0.01428571     900000.00000000          0.00001111          0.00002141          0.00000000
          1.00000000         -1.00000000         70.00000000          0.01428571    1000000.00000000          0.00001000          0.00002544          0.00000000
          1.00000000         -1.00000000         80.00000000          0.01250000     100000.00000000          0.00010000                 inf          0.00000000
          1.00000000         -1.00000000         80.00000000          0.01250000     200000.00000000          0.00005000                 inf          0.00000000
          1.00000000         -1.00000000         80.00000000          0.01250000     300000.00000000          0.00003333          0.00007377          0.00000000
          1.00000000         -1.00000000         80.00000000          0.01250000     400000.00000000          0.00002500          0.00004350          0.00000000
          1.00000000         -1.00000000         80.00000000          0.01250000     500000.00000000          0.00002000          0.00002534          0.00000000
          1.00000000         -1.00000000         80.00000000          0.01250000     600000.00000000          0.00001667          0.00001324          0.00000000
          1.00000000         -1.00000000         80.00000000          0.01250000     700000.00000000          0.00001429          0.00000459          0.00000000
          1.00000000         -1.00000000         80.00000000          0.01250000     800000.00000000          0.00001250          0.00000189          0.00000000
          1.00000000         -1.00000000         80.00000000          0.01250000     900000.00000000          0.00001111          0.00000694          0.00000000
          1.00000000         -1.00000000         80.00000000          0.01250000    1000000.00000000          0.00001000          0.00001097          0.00000000
          1.00000000         -1.00000000         90.00000000          0.01111111     100000.00000000          0.00010000                 inf          0.00000000
          1.00000000         -1.00000000         90.00000000          0.01111111     200000.00000000          0.00005000                 inf          0.00000000
          1.00000000         -1.00000000         90.00000000          0.01111111     300000.00000000          0.00003333                 inf          0.00000000
          1.00000000         -1.00000000         90.00000000          0.01111111     400000.00000000          0.00002500          0.00005343          0.00000000
          1.00000000         -1.00000000         90.00000000          0.01111111     500000.00000000          0.00002000          0.00003527          0.00000000
          1.00000000         -1.00000000         90.00000000          0.01111111     600000.00000000          0.00001667          0.00002316          0.00000000
          1.00000000         -1.00000000         90.00000000          0.01111111     700000.00000000          0.00001429          0.00001452          0.00000000
          1.00000000         -1.00000000         90.00000000          0.01111111     800000.00000000          0.00001250          0.00000803          0.00000000
          1.00000000         -1.00000000         90.00000000          0.01111111     900000.00000000          0.00001111          0.00000299          0.00000000
          1.00000000         -1.00000000         90.00000000          0.01111111    1000000.00000000          0.00001000          0.00000105          0.00000000
          1.00000000         -1.00000000        100.00000000          0.01000000     100000.00000000          0.00010000                 inf          0.00000000
          1.00000000         -1.00000000        100.00000000          0.01000000     200000.00000000          0.00005000                 inf          0.00000000
          1.00000000         -1.00000000        100.00000000          0.01000000     300000.00000000          0.00003333                 inf          0.00000000
          1.00000000         -1.00000000        100.00000000          0.01000000     400000.00000000          0.00002500          0.00006052          0.00000000
          1.00000000         -1.00000000        100.00000000          0.01000000     500000.00000000          0.00002000          0.00004237          0.00000000
          1.00000000         -1.00000000        100.00000000          0.01000000     600000.00000000          0.00001667          0.00003026          0.00000000
          1.00000000         -1.00000000        100.00000000          0.01000000     700000.00000000          0.00001429          0.00002161          0.00000000
          1.00000000         -1.00000000        100.00000000          0.01000000     800000.00000000          0.00001250          0.00001513          0.00000000
          1.00000000         -1.00000000        100.00000000          0.01000000     900000.00000000          0.00001111          0.00001009          0.00000000
          1.00000000         -1.00000000        100.00000000          0.01000000    1000000.00000000          0.00001000          0.00000605          0.00000000
