             version              nb_cpu                   N                   h                 N_t                 h_t        erreur_infty               temps
          1.00000000         -1.00000000        100.00000000          0.01000000        100.00000000          0.01000000          0.01570926         -1.00000000
          1.00000000         -1.00000000        100.00000000          0.01000000        200.00000000          0.00500000          0.00780545         -1.00000000
          1.00000000         -1.00000000        100.00000000          0.01000000        500.00000000          0.00200000          0.00307972         -1.00000000
          1.00000000         -1.00000000        100.00000000          0.01000000       1000.00000000          0.00100000          0.00150733         -1.00000000
          1.00000000         -1.00000000        200.00000000          0.00500000        100.00000000          0.01000000                 inf         -1.00000000
          1.00000000         -1.00000000        200.00000000          0.00500000        200.00000000          0.00500000          0.00785414         -1.00000000
          1.00000000         -1.00000000        200.00000000          0.00500000        500.00000000          0.00200000          0.00312801         -1.00000000
          1.00000000         -1.00000000        200.00000000          0.00500000       1000.00000000          0.00100000          0.00155531         -1.00000000
          1.00000000         -1.00000000        500.00000000          0.00200000        100.00000000          0.01000000                 inf         -1.00000000
          1.00000000         -1.00000000        500.00000000          0.00200000        200.00000000          0.00500000                 inf         -1.00000000
          1.00000000         -1.00000000        500.00000000          0.00200000        500.00000000          0.00200000          0.00314160         -1.00000000
          1.00000000         -1.00000000        500.00000000          0.00200000       1000.00000000          0.00100000          0.00156886         -1.00000000
          1.00000000         -1.00000000       1000.00000000          0.00100000        100.00000000          0.01000000                 inf         -1.00000000
          1.00000000         -1.00000000       1000.00000000          0.00100000        200.00000000          0.00500000                 inf         -1.00000000
          1.00000000         -1.00000000       1000.00000000          0.00100000        500.00000000          0.00200000                 inf         -1.00000000
          1.00000000         -1.00000000       1000.00000000          0.00100000       1000.00000000          0.00100000          0.00157080         -1.00000000
